timestamp,epoch,train_acc,test_acc,train_loss,test_loss,n_params,n_params_full,activations,train_time,prune_time,experiment
20200117T223047,5,0.9136949152542373,0.912,0.23451097968776347,0.24915200397372245,3994908,16849994,1318-47-29,24.200658938847482,2.06720569729805,fmnist__sv-abs-smallest_gap:1.0_steps:10_start:1_int:1
20200117T223047,6,0.9126779661016949,0.913,0.23563631666918933,0.2387281611561775,2979516,16849994,1318-35-29,20.54221986886114,3.3335863640531898,fmnist__sv-abs-smallest_gap:1.0_steps:10_start:1_int:1
20200117T223047,7,0.9193220338983051,0.9179,0.2178029646686578,0.23254846967756748,2979516,16849994,1318-35-29,20.978376179002225,6.188894583843648,fmnist__sv-abs-smallest_gap:1.0_steps:10_start:1_int:1
20200117T223047,8,0.9238305084745763,0.9183,0.20875892916978417,0.23072369173169135,2186460,16849994,966-35-29,19.9911870919168,1.2283823853358626,fmnist__sv-abs-smallest_gap:1.0_steps:10_start:1_int:1
20200117T223047,9,0.9286440677966101,0.9208,0.19595807976389334,0.22748888432979583,2124372,16849994,966-34-29,19.943459406495094,3.204078513197601,fmnist__sv-abs-smallest_gap:1.0_steps:10_start:1_int:1
20200117T223047,10,0.9308983050847458,0.9127,0.1882197271148532,0.23970690965652466,2124038,16849994,966-34-28,20.05809303931892,4.206099991686642,fmnist__sv-abs-smallest_gap:1.0_steps:10_start:1_int:1
20200117T223047,11,0.9298813559322033,0.9173,0.1932212928089045,0.22771936282515526,1318486,16849994,598-34-28,20.013321734033525,0.0,fmnist__sv-abs-smallest_gap:1.0_steps:10_start:1_int:1
20200117T223047,12,0.932271186440678,0.9195,0.1832364885988882,0.23097079619765282,1318486,16849994,598-34-28,20.608907400630414,0.0,fmnist__sv-abs-smallest_gap:1.0_steps:10_start:1_int:1
20200117T223047,13,0.9363389830508475,0.9211,0.1733744940894135,0.22110344767570494,1318486,16849994,598-34-28,20.63057097606361,0.0,fmnist__sv-abs-smallest_gap:1.0_steps:10_start:1_int:1
20200117T223047,14,0.9395084745762712,0.9231,0.16463550807182062,0.21422790512442588,1318486,16849994,598-34-28,20.532330779358745,0.0,fmnist__sv-abs-smallest_gap:1.0_steps:10_start:1_int:1
20200117T223047,15,0.942271186440678,0.926,0.15694355415338176,0.2150787331163883,1318486,16849994,598-34-28,20.55376372858882,0.0,fmnist__sv-abs-smallest_gap:1.0_steps:10_start:1_int:1
20200117T223047,16,0.9437966101694916,0.926,0.15318431974846428,0.21872893422842027,1318486,16849994,598-34-28,20.585039477795362,0.0,fmnist__sv-abs-smallest_gap:1.0_steps:10_start:1_int:1
20200117T223047,17,0.9469830508474576,0.9222,0.14507648853932398,0.22558578774333,1318486,16849994,598-34-28,20.543498085811734,0.0,fmnist__sv-abs-smallest_gap:1.0_steps:10_start:1_int:1
20200117T223047,18,0.9477796610169491,0.9277,0.14133608208621962,0.2134164735674858,1318486,16849994,598-34-28,20.5196625161916,0.0,fmnist__sv-abs-smallest_gap:1.0_steps:10_start:1_int:1
20200117T223047,19,0.9495762711864407,0.9222,0.13440743147442907,0.220914538949728,1318486,16849994,598-34-28,20.69109999574721,0.0,fmnist__sv-abs-smallest_gap:1.0_steps:10_start:1_int:1
20200117T223047,20,0.9531016949152542,0.9234,0.13050173791283268,0.22182825431227685,1318486,16849994,598-34-28,20.56608840636909,0.0,fmnist__sv-abs-smallest_gap:1.0_steps:10_start:1_int:1
20200117T223047,21,0.9530338983050848,0.9278,0.1278650878975957,0.21195889711380006,1318486,16849994,598-34-28,20.51614528428763,0.0,fmnist__sv-abs-smallest_gap:1.0_steps:10_start:1_int:1
20200117T223047,22,0.9551186440677966,0.9248,0.12202979876202041,0.21179839819669724,1318486,16849994,598-34-28,20.673480852507055,0.0,fmnist__sv-abs-smallest_gap:1.0_steps:10_start:1_int:1
20200117T223047,23,0.9575762711864407,0.9295,0.11457095150283332,0.21575505584478377,1318486,16849994,598-34-28,20.584446319378912,0.0,fmnist__sv-abs-smallest_gap:1.0_steps:10_start:1_int:1
20200117T223047,24,0.9578983050847457,0.9281,0.11377890012148073,0.22384049519896507,1318486,16849994,598-34-28,20.618572278879583,0.0,fmnist__sv-abs-smallest_gap:1.0_steps:10_start:1_int:1
20200117T223047,25,0.9590847457627119,0.9286,0.10844860308629982,0.2226465478539467,1318486,16849994,598-34-28,20.65223275218159,0.0,fmnist__sv-abs-smallest_gap:1.0_steps:10_start:1_int:1
20200117T223047,26,0.9611864406779661,0.9292,0.10531761870419575,0.22033568769693374,1318486,16849994,598-34-28,20.660029948689044,0.0,fmnist__sv-abs-smallest_gap:1.0_steps:10_start:1_int:1
20200117T223047,27,0.9620677966101695,0.9304,0.10208170852797516,0.21794812008738518,1318486,16849994,598-34-28,20.59659401141107,0.0,fmnist__sv-abs-smallest_gap:1.0_steps:10_start:1_int:1
20200117T223047,28,0.9639661016949153,0.9292,0.09707818089084605,0.22271440848708152,1318486,16849994,598-34-28,20.672523294575512,0.0,fmnist__sv-abs-smallest_gap:1.0_steps:10_start:1_int:1
20200117T223047,29,0.9642372881355932,0.9304,0.0970288500789616,0.21943759992718698,1318486,16849994,598-34-28,20.58221697807312,0.0,fmnist__sv-abs-smallest_gap:1.0_steps:10_start:1_int:1
20200117T223047,30,0.966406779661017,0.9279,0.09242674225657169,0.23070328086614608,1318486,16849994,598-34-28,20.579085994511843,0.0,fmnist__sv-abs-smallest_gap:1.0_steps:10_start:1_int:1
20200117T223047,31,0.9668135593220339,0.9293,0.09019665504347975,0.22341784015297889,1318486,16849994,598-34-28,20.542503068223596,0.0,fmnist__sv-abs-smallest_gap:1.0_steps:10_start:1_int:1
20200117T223047,32,0.968728813559322,0.9284,0.08680153582245112,0.22878927811980249,1318486,16849994,598-34-28,20.500533507205546,0.0,fmnist__sv-abs-smallest_gap:1.0_steps:10_start:1_int:1
20200117T223047,33,0.9687966101694915,0.9308,0.08490156955953877,0.22428165823221208,1318486,16849994,598-34-28,20.61435768287629,0.0,fmnist__sv-abs-smallest_gap:1.0_steps:10_start:1_int:1
20200117T223047,34,0.9703050847457627,0.93,0.0810427438846584,0.23077813237905503,1318486,16849994,598-34-28,20.647787664085627,0.0,fmnist__sv-abs-smallest_gap:1.0_steps:10_start:1_int:1
20200117T223047,35,0.9710847457627119,0.932,0.07872805703368227,0.2254051797091961,1318486,16849994,598-34-28,20.60541138332337,0.0,fmnist__sv-abs-smallest_gap:1.0_steps:10_start:1_int:1
20200117T223047,36,0.9725423728813559,0.9297,0.07657973040684553,0.23335597068071365,1318486,16849994,598-34-28,20.59351474698633,0.0,fmnist__sv-abs-smallest_gap:1.0_steps:10_start:1_int:1
20200117T223047,37,0.9729661016949153,0.928,0.07420490360266324,0.23826787918806075,1318486,16849994,598-34-28,20.67342473100871,0.0,fmnist__sv-abs-smallest_gap:1.0_steps:10_start:1_int:1
20200117T223047,38,0.9726440677966102,0.9281,0.07431448482734672,0.23847902715206146,1318486,16849994,598-34-28,20.562649304047227,0.0,fmnist__sv-abs-smallest_gap:1.0_steps:10_start:1_int:1
20200117T223047,39,0.9736440677966102,0.9291,0.07155913366320527,0.23686789646744727,1318486,16849994,598-34-28,20.62112576328218,0.0,fmnist__sv-abs-smallest_gap:1.0_steps:10_start:1_int:1
20200117T223047,40,0.9743220338983051,0.9298,0.07029972764647613,0.24037551134824753,1318486,16849994,598-34-28,20.511348196305335,0.0,fmnist__sv-abs-smallest_gap:1.0_steps:10_start:1_int:1
20200117T223047,41,0.9753559322033898,0.9286,0.06962924599489671,0.24820111617445945,1318486,16849994,598-34-28,20.756991259753704,0.0,fmnist__sv-abs-smallest_gap:1.0_steps:10_start:1_int:1
20200117T223047,42,0.9766779661016949,0.931,0.06578108814339768,0.23691051751375197,1318486,16849994,598-34-28,20.618206105194986,0.0,fmnist__sv-abs-smallest_gap:1.0_steps:10_start:1_int:1
